Site,Year,Month,Day,Hour,Value,Unit
Beijing,2014,4,1,0,161,mcg/m^3
Beijing,2014,4,1,1,174,mcg/m^3
Beijing,2014,4,1,2,177,mcg/m^3
Beijing,2014,4,1,3,174,mcg/m^3
Beijing,2014,4,1,4,180,mcg/m^3
Beijing,2014,4,1,5,196,mcg/m^3
Beijing,2014,4,1,6,214,mcg/m^3
Beijing,2014,4,1,7,220,mcg/m^3
Beijing,2014,4,1,8,216,mcg/m^3
Beijing,2014,4,1,9,199,mcg/m^3
Beijing,2014,4,1,10,168,mcg/m^3
Beijing,2014,4,1,11,121,mcg/m^3
Beijing,2014,4,1,12,124,mcg/m^3
Beijing,2014,4,1,13,94,mcg/m^3
Beijing,2014,4,1,14,63,mcg/m^3
Beijing,2014,4,1,15,52,mcg/m^3
Beijing,2014,4,1,16,64,mcg/m^3
Beijing,2014,4,1,17,48,mcg/m^3
Beijing,2014,4,1,18,69,mcg/m^3
Beijing,2014,4,1,19,65,mcg/m^3
Beijing,2014,4,1,20,83,mcg/m^3
Beijing,2014,4,1,21,90,mcg/m^3
Beijing,2014,4,1,22,80,mcg/m^3
Beijing,2014,4,1,23,95,mcg/m^3
Beijing,2014,4,2,0,99,mcg/m^3
Beijing,2014,4,2,1,103,mcg/m^3
Beijing,2014,4,2,2,119,mcg/m^3
Beijing,2014,4,2,3,121,mcg/m^3
Beijing,2014,4,2,4,113,mcg/m^3
Beijing,2014,4,2,5,124,mcg/m^3
Beijing,2014,4,2,6,138,mcg/m^3
Beijing,2014,4,2,7,160,mcg/m^3
Beijing,2014,4,2,8,163,mcg/m^3
Beijing,2014,4,2,9,119,mcg/m^3
Beijing,2014,4,2,10,80,mcg/m^3
Beijing,2014,4,2,11,84,mcg/m^3
Beijing,2014,4,2,12,76,mcg/m^3
Beijing,2014,4,2,13,98,mcg/m^3
Beijing,2014,4,2,14,105,mcg/m^3
Beijing,2014,4,2,15,86,mcg/m^3
Beijing,2014,4,2,16,132,mcg/m^3
Beijing,2014,4,2,17,116,mcg/m^3
Beijing,2014,4,2,18,105,mcg/m^3
Beijing,2014,4,2,19,97,mcg/m^3
Beijing,2014,4,2,20,87,mcg/m^3
Beijing,2014,4,2,21,72,mcg/m^3
Beijing,2014,4,2,22,70,mcg/m^3
Beijing,2014,4,2,23,64,mcg/m^3
Beijing,2014,4,3,0,55,mcg/m^3
Beijing,2014,4,3,1,58,mcg/m^3
Beijing,2014,4,3,2,52,mcg/m^3
Beijing,2014,4,3,3,52,mcg/m^3
Beijing,2014,4,3,4,53,mcg/m^3
Beijing,2014,4,3,5,12,mcg/m^3
Beijing,2014,4,3,6,15,mcg/m^3
Beijing,2014,4,3,7,9,mcg/m^3
Beijing,2014,4,3,8,6,mcg/m^3
Beijing,2014,4,3,9,9,mcg/m^3
Beijing,2014,4,3,10,14,mcg/m^3
Beijing,2014,4,3,11,14,mcg/m^3
Beijing,2014,4,3,12,11,mcg/m^3
Beijing,2014,4,3,13,12,mcg/m^3
Beijing,2014,4,3,14,14,mcg/m^3
Beijing,2014,4,3,15,9,mcg/m^3
Beijing,2014,4,3,16,7,mcg/m^3
Beijing,2014,4,3,17,7,mcg/m^3
Beijing,2014,4,3,18,19,mcg/m^3
Beijing,2014,4,3,19,18,mcg/m^3
Beijing,2014,4,3,20,22,mcg/m^3
Beijing,2014,4,3,21,20,mcg/m^3
Beijing,2014,4,3,22,33,mcg/m^3
Beijing,2014,4,3,23,40,mcg/m^3
Beijing,2014,4,4,0,35,mcg/m^3
Beijing,2014,4,4,1,28,mcg/m^3
Beijing,2014,4,4,2,29,mcg/m^3
Beijing,2014,4,4,3,32,mcg/m^3
Beijing,2014,4,4,4,36,mcg/m^3
Beijing,2014,4,4,5,37,mcg/m^3
Beijing,2014,4,4,6,42,mcg/m^3
Beijing,2014,4,4,7,59,mcg/m^3
Beijing,2014,4,4,8,60,mcg/m^3
Beijing,2014,4,4,9,53,mcg/m^3
Beijing,2014,4,4,10,55,mcg/m^3
Beijing,2014,4,4,11,41,mcg/m^3
Beijing,2014,4,4,12,31,mcg/m^3
Beijing,2014,4,4,13,29,mcg/m^3
Beijing,2014,4,4,14,24,mcg/m^3
Beijing,2014,4,4,15,13,mcg/m^3
Beijing,2014,4,4,16,11,mcg/m^3
Beijing,2014,4,4,17,16,mcg/m^3
Beijing,2014,4,4,18,14,mcg/m^3
Beijing,2014,4,4,19,20,mcg/m^3
Beijing,2014,4,4,20,14,mcg/m^3
Beijing,2014,4,4,21,31,mcg/m^3
Beijing,2014,4,4,22,31,mcg/m^3
Beijing,2014,4,4,23,34,mcg/m^3
Beijing,2014,4,5,0,33,mcg/m^3
Beijing,2014,4,5,1,34,mcg/m^3
Beijing,2014,4,5,2,28,mcg/m^3
Beijing,2014,4,5,3,32,mcg/m^3
Beijing,2014,4,5,4,37,mcg/m^3
Beijing,2014,4,5,5,36,mcg/m^3
Beijing,2014,4,5,6,49,mcg/m^3
Beijing,2014,4,5,7,16,mcg/m^3
Beijing,2014,4,5,8,8,mcg/m^3
Beijing,2014,4,5,9,6,mcg/m^3
Beijing,2014,4,5,10,11,mcg/m^3
Beijing,2014,4,5,11,8,mcg/m^3
Beijing,2014,4,5,12,4,mcg/m^3
Beijing,2014,4,5,13,6,mcg/m^3
Beijing,2014,4,5,14,14,mcg/m^3
Beijing,2014,4,5,15,10,mcg/m^3
Beijing,2014,4,5,16,10,mcg/m^3
Beijing,2014,4,5,17,25,mcg/m^3
Beijing,2014,4,5,18,30,mcg/m^3
Beijing,2014,4,5,19,37,mcg/m^3
Beijing,2014,4,5,20,48,mcg/m^3
Beijing,2014,4,5,21,48,mcg/m^3
Beijing,2014,4,5,22,49,mcg/m^3
Beijing,2014,4,5,23,57,mcg/m^3
Beijing,2014,4,6,0,58,mcg/m^3
Beijing,2014,4,6,1,64,mcg/m^3
Beijing,2014,4,6,2,65,mcg/m^3
Beijing,2014,4,6,3,61,mcg/m^3
Beijing,2014,4,6,4,61,mcg/m^3
Beijing,2014,4,6,5,71,mcg/m^3
Beijing,2014,4,6,6,102,mcg/m^3
Beijing,2014,4,6,7,91,mcg/m^3
Beijing,2014,4,6,8,84,mcg/m^3
Beijing,2014,4,6,9,51,mcg/m^3
Beijing,2014,4,6,10,27,mcg/m^3
Beijing,2014,4,6,11,39,mcg/m^3
Beijing,2014,4,6,12,33,mcg/m^3
Beijing,2014,4,6,13,32,mcg/m^3
Beijing,2014,4,6,14,41,mcg/m^3
Beijing,2014,4,6,15,40,mcg/m^3
Beijing,2014,4,6,16,45,mcg/m^3
Beijing,2014,4,6,17,45,mcg/m^3
Beijing,2014,4,6,18,59,mcg/m^3
Beijing,2014,4,6,19,59,mcg/m^3
Beijing,2014,4,6,20,82,mcg/m^3
Beijing,2014,4,6,21,58,mcg/m^3
Beijing,2014,4,6,22,65,mcg/m^3
Beijing,2014,4,6,23,54,mcg/m^3
Beijing,2014,4,7,0,55,mcg/m^3
Beijing,2014,4,7,1,63,mcg/m^3
Beijing,2014,4,7,2,70,mcg/m^3
Beijing,2014,4,7,3,74,mcg/m^3
Beijing,2014,4,7,4,80,mcg/m^3
Beijing,2014,4,7,5,87,mcg/m^3
Beijing,2014,4,7,6,93,mcg/m^3
Beijing,2014,4,7,7,105,mcg/m^3
Beijing,2014,4,7,8,92,mcg/m^3
Beijing,2014,4,7,9,103,mcg/m^3
Beijing,2014,4,7,10,97,mcg/m^3
Beijing,2014,4,7,11,110,mcg/m^3
Beijing,2014,4,7,12,92,mcg/m^3
Beijing,2014,4,7,13,93,mcg/m^3
Beijing,2014,4,7,14,97,mcg/m^3
Beijing,2014,4,7,15,95,mcg/m^3
Beijing,2014,4,7,16,88,mcg/m^3
Beijing,2014,4,7,17,98,mcg/m^3
Beijing,2014,4,7,18,105,mcg/m^3
Beijing,2014,4,7,19,111,mcg/m^3
Beijing,2014,4,7,20,123,mcg/m^3
Beijing,2014,4,7,21,147,mcg/m^3
Beijing,2014,4,7,22,155,mcg/m^3
Beijing,2014,4,7,23,166,mcg/m^3
Beijing,2014,4,8,0,194,mcg/m^3
Beijing,2014,4,8,1,191,mcg/m^3
Beijing,2014,4,8,2,180,mcg/m^3
Beijing,2014,4,8,3,187,mcg/m^3
Beijing,2014,4,8,4,195,mcg/m^3
Beijing,2014,4,8,5,174,mcg/m^3
Beijing,2014,4,8,6,171,mcg/m^3
Beijing,2014,4,8,7,181,mcg/m^3
Beijing,2014,4,8,8,193,mcg/m^3
Beijing,2014,4,8,9,196,mcg/m^3
Beijing,2014,4,8,10,199,mcg/m^3
Beijing,2014,4,8,11,206,mcg/m^3
Beijing,2014,4,8,12,175,mcg/m^3
Beijing,2014,4,8,13,158,mcg/m^3
Beijing,2014,4,8,14,152,mcg/m^3
