Site,Year,Month,Day,Hour,Value,Unit
Beijing,2014,4,1,0,161,µg/m_
Beijing,2014,4,1,1,174,µg/m_
Beijing,2014,4,1,2,177,µg/m_
Beijing,2014,4,1,3,174,µg/m_
Beijing,2014,4,1,4,180,µg/m_
Beijing,2014,4,1,5,196,µg/m_
Beijing,2014,4,1,6,214,µg/m_
Beijing,2014,4,1,7,220,µg/m_
Beijing,2014,4,1,8,216,µg/m_
Beijing,2014,4,1,9,199,µg/m_
Beijing,2014,4,1,10,168,µg/m_
Beijing,2014,4,1,11,121,µg/m_
Beijing,2014,4,1,12,124,µg/m_
Beijing,2014,4,1,13,94,µg/m_
Beijing,2014,4,1,14,63,µg/m_
Beijing,2014,4,1,15,52,µg/m_
Beijing,2014,4,1,16,64,µg/m_
Beijing,2014,4,1,17,48,µg/m_
Beijing,2014,4,1,18,69,µg/m_
Beijing,2014,4,1,19,65,µg/m_
Beijing,2014,4,1,20,83,µg/m_
Beijing,2014,4,1,21,90,µg/m_
Beijing,2014,4,1,22,80,µg/m_
Beijing,2014,4,1,23,95,µg/m_
Beijing,2014,4,2,0,99,µg/m_
Beijing,2014,4,2,1,103,µg/m_
Beijing,2014,4,2,2,119,µg/m_
Beijing,2014,4,2,3,121,µg/m_
Beijing,2014,4,2,4,113,µg/m_
Beijing,2014,4,2,5,124,µg/m_
Beijing,2014,4,2,6,138,µg/m_
Beijing,2014,4,2,7,160,µg/m_
Beijing,2014,4,2,8,163,µg/m_
Beijing,2014,4,2,9,119,µg/m_
Beijing,2014,4,2,10,80,µg/m_
Beijing,2014,4,2,11,84,µg/m_
Beijing,2014,4,2,12,76,µg/m_
Beijing,2014,4,2,13,98,µg/m_
Beijing,2014,4,2,14,105,µg/m_
Beijing,2014,4,2,15,86,µg/m_
Beijing,2014,4,2,16,132,µg/m_
Beijing,2014,4,2,17,116,µg/m_
Beijing,2014,4,2,18,105,µg/m_
Beijing,2014,4,2,19,97,µg/m_
Beijing,2014,4,2,20,87,µg/m_
Beijing,2014,4,2,21,72,µg/m_
Beijing,2014,4,2,22,70,µg/m_
Beijing,2014,4,2,23,64,µg/m_
Beijing,2014,4,3,0,55,µg/m_
Beijing,2014,4,3,1,58,µg/m_
Beijing,2014,4,3,2,52,µg/m_
Beijing,2014,4,3,3,52,µg/m_
Beijing,2014,4,3,4,53,µg/m_
Beijing,2014,4,3,5,12,µg/m_
Beijing,2014,4,3,6,15,µg/m_
Beijing,2014,4,3,7,9,µg/m_
Beijing,2014,4,3,8,6,µg/m_
Beijing,2014,4,3,9,9,µg/m_
Beijing,2014,4,3,10,14,µg/m_
Beijing,2014,4,3,11,14,µg/m_
Beijing,2014,4,3,12,11,µg/m_
Beijing,2014,4,3,13,12,µg/m_
Beijing,2014,4,3,14,14,µg/m_
Beijing,2014,4,3,15,9,µg/m_
Beijing,2014,4,3,16,7,µg/m_
Beijing,2014,4,3,17,7,µg/m_
Beijing,2014,4,3,18,19,µg/m_
Beijing,2014,4,3,19,18,µg/m_
Beijing,2014,4,3,20,22,µg/m_
Beijing,2014,4,3,21,20,µg/m_
Beijing,2014,4,3,22,33,µg/m_
Beijing,2014,4,3,23,40,µg/m_
Beijing,2014,4,4,0,35,µg/m_
Beijing,2014,4,4,1,28,µg/m_
Beijing,2014,4,4,2,29,µg/m_
Beijing,2014,4,4,3,32,µg/m_
Beijing,2014,4,4,4,36,µg/m_
Beijing,2014,4,4,5,37,µg/m_
Beijing,2014,4,4,6,42,µg/m_
Beijing,2014,4,4,7,59,µg/m_
Beijing,2014,4,4,8,60,µg/m_
Beijing,2014,4,4,9,53,µg/m_
Beijing,2014,4,4,10,55,µg/m_
Beijing,2014,4,4,11,41,µg/m_
Beijing,2014,4,4,12,31,µg/m_
Beijing,2014,4,4,13,29,µg/m_
Beijing,2014,4,4,14,24,µg/m_
Beijing,2014,4,4,15,13,µg/m_
Beijing,2014,4,4,16,11,µg/m_
Beijing,2014,4,4,17,16,µg/m_
Beijing,2014,4,4,18,14,µg/m_
Beijing,2014,4,4,19,20,µg/m_
Beijing,2014,4,4,20,14,µg/m_
Beijing,2014,4,4,21,31,µg/m_
Beijing,2014,4,4,22,31,µg/m_
Beijing,2014,4,4,23,34,µg/m_
Beijing,2014,4,5,0,33,µg/m_
Beijing,2014,4,5,1,34,µg/m_
Beijing,2014,4,5,2,28,µg/m_
Beijing,2014,4,5,3,32,µg/m_
Beijing,2014,4,5,4,37,µg/m_
Beijing,2014,4,5,5,36,µg/m_
Beijing,2014,4,5,6,49,µg/m_
Beijing,2014,4,5,7,16,µg/m_
Beijing,2014,4,5,8,8,µg/m_
Beijing,2014,4,5,9,6,µg/m_
Beijing,2014,4,5,10,11,µg/m_
Beijing,2014,4,5,11,8,µg/m_
Beijing,2014,4,5,12,4,µg/m_
Beijing,2014,4,5,13,6,µg/m_
Beijing,2014,4,5,14,14,µg/m_
Beijing,2014,4,5,15,10,µg/m_
Beijing,2014,4,5,16,10,µg/m_
Beijing,2014,4,5,17,25,µg/m_
Beijing,2014,4,5,18,30,µg/m_
Beijing,2014,4,5,19,37,µg/m_
Beijing,2014,4,5,20,48,µg/m_
Beijing,2014,4,5,21,48,µg/m_
Beijing,2014,4,5,22,49,µg/m_
Beijing,2014,4,5,23,57,µg/m_
Beijing,2014,4,6,0,58,µg/m_
Beijing,2014,4,6,1,64,µg/m_
Beijing,2014,4,6,2,65,µg/m_
Beijing,2014,4,6,3,61,µg/m_
Beijing,2014,4,6,4,61,µg/m_
Beijing,2014,4,6,5,71,µg/m_
Beijing,2014,4,6,6,102,µg/m_
Beijing,2014,4,6,7,91,µg/m_
Beijing,2014,4,6,8,84,µg/m_
Beijing,2014,4,6,9,51,µg/m_
Beijing,2014,4,6,10,27,µg/m_
Beijing,2014,4,6,11,39,µg/m_
Beijing,2014,4,6,12,33,µg/m_
Beijing,2014,4,6,13,32,µg/m_
Beijing,2014,4,6,14,41,µg/m_
Beijing,2014,4,6,15,40,µg/m_
Beijing,2014,4,6,16,45,µg/m_
Beijing,2014,4,6,17,45,µg/m_
Beijing,2014,4,6,18,59,µg/m_
Beijing,2014,4,6,19,59,µg/m_
Beijing,2014,4,6,20,82,µg/m_
Beijing,2014,4,6,21,58,µg/m_
Beijing,2014,4,6,22,65,µg/m_
Beijing,2014,4,6,23,54,µg/m_
Beijing,2014,4,7,0,55,µg/m_
Beijing,2014,4,7,1,63,µg/m_
Beijing,2014,4,7,2,70,µg/m_
Beijing,2014,4,7,3,74,µg/m_
Beijing,2014,4,7,4,80,µg/m_
Beijing,2014,4,7,5,87,µg/m_
Beijing,2014,4,7,6,93,µg/m_
Beijing,2014,4,7,7,105,µg/m_
Beijing,2014,4,7,8,92,µg/m_
Beijing,2014,4,7,9,103,µg/m_
Beijing,2014,4,7,10,97,µg/m_
Beijing,2014,4,7,11,110,µg/m_
Beijing,2014,4,7,12,92,µg/m_
Beijing,2014,4,7,13,93,µg/m_
Beijing,2014,4,7,14,97,µg/m_
Beijing,2014,4,7,15,95,µg/m_
Beijing,2014,4,7,16,88,µg/m_
Beijing,2014,4,7,17,98,µg/m_
Beijing,2014,4,7,18,105,µg/m_
Beijing,2014,4,7,19,111,µg/m_
Beijing,2014,4,7,20,123,µg/m_
Beijing,2014,4,7,21,147,µg/m_
Beijing,2014,4,7,22,155,µg/m_
Beijing,2014,4,7,23,166,µg/m_
Beijing,2014,4,8,0,194,µg/m_
Beijing,2014,4,8,1,191,µg/m_
Beijing,2014,4,8,2,180,µg/m_
Beijing,2014,4,8,3,187,µg/m_
Beijing,2014,4,8,4,195,µg/m_
Beijing,2014,4,8,5,174,µg/m_
Beijing,2014,4,8,6,171,µg/m_
Beijing,2014,4,8,7,181,µg/m_
Beijing,2014,4,8,8,193,µg/m_
Beijing,2014,4,8,9,196,µg/m_
Beijing,2014,4,8,10,199,µg/m_
Beijing,2014,4,8,11,206,µg/m_
Beijing,2014,4,8,12,175,µg/m_
Beijing,2014,4,8,13,158,µg/m_
Beijing,2014,4,8,14,152,µg/m_
